price,name,link
454.96,"Monitor Soyo LED 19"" Widescreen, VGA/HDMI - SM190-L02",https://www.kabum.com.br/produto/323536/monitor-soyo-led-19-widescreen-vga-hdmi-sm190-l02
480.48,Monitor Soyo Led 20'' Widescreen Sm200-l02 Vga Hdmi,https://www.kabum.com.br/produto/331648/monitor-soyo-led-20-widescreen-sm200-l02-vga-hdmi
980.1,"Monitor Gamer Samsung 24"" FHD, 75Hz, HDMI, VGA, Freesync, T350",https://www.kabum.com.br/produto/254367/monitor-gamer-samsung-24-fhd-75hz-hdmi-vga-freesync-t350
349.0,"Monitor Led 17.1"" Widescreen, HDMI, Ajuste De angulo,Vesa, 75HZ ,HQ, Screen, 17hq-led",https://www.kabum.com.br/produto/379925/monitor-led-17-1-widescreen-hdmi-ajuste-de-angulo-vesa-75hz-hq-screen-17hq-led
473.62,"Monitor 20"", Led, Widescreen, HDMI, VGA, 60hz, Vesa - 20BPC-KAN",https://www.kabum.com.br/produto/309975/monitor-20-led-widescreen-hdmi-vga-60hz-vesa-20bpc-kan
719.99,"Monitor Acer 19.5' LED, HD, HDMI/VGA, VESA, Acer ComfyView - V206HQL Abi",https://www.kabum.com.br/produto/162597/monitor-acer-19-5-led-hd-hdmi-vga-vesa-acer-comfyview-v206hql-abi
730.0,"Monitor Acer 21.5'' Full HD, 1920x1080, 60Hz, 5Ms, DVI, HDMI - V226HQL",https://www.kabum.com.br/produto/118897/monitor-acer-21-5-full-hd-1920x1080-60hz-5ms-dvi-hdmi-v226hql
539.1,"Monitor 17'' Polegadas, LED, HD, VGA, Vesa, Bivolt, Preto - Tronos",https://www.kabum.com.br/produto/288771/monitor-17-polegadas-led-hd-vga-vesa-bivolt-preto-tronos
474.32,"Monitor Gamer Led 19.5"" Full HD, 75hz, Widescreen, HDMI, Modo Jogo, Vesa, HQ, 20g75fhd-b",https://www.kabum.com.br/produto/376771/monitor-gamer-led-19-5-full-hd-75hz-widescreen-hdmi-modo-jogo-vesa-hq-20g75fhd-b
700.2,"Monitor AOC 15.6"" Widescreen, LED, HD (1366 x 768), VGA, Preto, Vesa",https://www.kabum.com.br/produto/119361/monitor-aoc-15-6-widescreen-led-hd-1366-x-768-vga-preto-vesa
539.99,"Monitor Goldentec 19 LED,75 Hz, Wide, HD, 5ms, HDMI/VGA, Ajuste de angulo",https://www.kabum.com.br/produto/318384/monitor-goldentec-19-led-75-hz-wide-hd-5ms-hdmi-vga-ajuste-de-angulo
390.9,Monitor Led 17.1 Tronos Tn Trs-kan Widescreen Preto,https://www.kabum.com.br/produto/249905/monitor-led-17-1-tronos-tn-trs-kan-widescreen-preto
